i.no,Model,Brand,Size,Store SI No,Laptop Serial No,PO Numbers,Warranty End - EOL,Age in Months,Cost Center,Admin,Site,Status,Physical Location,Warranty Start Date,Warranty End Date,Warranty End Qtr,Assigned NTID,Emp ID,Employee Full Name,Employee Type,CC,Assigned Dept,New Hire/Replacement/Loner,Assign Date,Issues with Keyboard and Mouse (Y/N),Docking SI.No (Y/N),Remarks,Age Left in Months,Serial No,Assigned To,Location,Warranty Month
16.0,EliteBook 840,HP,15 inch,ST3520,8414093880807.0,PO206154,2026-04-13,26.0,CC104,admin2,Bangalore,Assigned,"104 Rodriguez Knoll, Kathleenborough, KY 56508",2023-04-14,2026-04-13,Q2-2026,livingstonmark,EMP7343,Valerie Dunn,Full Time,CC102,Finance,Loner,2026-03-21,Y,N,Allow then country have air.,10.0,,,,2026-04
17.0,MacBook Pro,Dell,15 inch,ST3627,5415243182157.0,PO762638,2027-01-13,17.0,CC103,admin3,Mumbai,Active,"0427 Crawford Light Apt. 140, East Larry, DE 77048",2024-01-14,2027-01-13,Q1-2027,patrick41,EMP2007,Sergio Fields,Full Time,CC104,IT,Replacement,2025-08-20,Y,N,Move product moment challenge develop.,19.0,,,,2027-01
18.0,MacBook Pro,Dell,14 inch,ST9876,8153894257929.0,PO259932,2025-08-05,34.0,CC103,admin1,Mumbai,Returned,"USS Rosario, FPO AE 01937",2022-08-06,2025-08-05,Q3-2025,zboyle,EMP2685,Darryl Ochoa,Intern,CC102,Finance,Loner,2024-04-21,Y,Y,Security traditional media employee give include these.,2.0,,,,2025-08
19.0,Latitude 5410,Apple,17 inch,ST6500,6145011682549.0,PO168769,2025-09-10,33.0,CC101,admin1,Bangalore,Expired,"7825 Carol Highway Suite 690, Lake Ariana, MO 74137",2022-09-11,2025-09-10,Q3-2025,david36,EMP4195,Jesus Fleming,Intern,CC101,HR,Replacement,2025-09-04,N,N,Job herself another smile successful think.,3.0,,,,2025-09
21.0,Latitude 5410,Dell,13 inch,ST9449,9534129222742.0,PO571908,2027-03-13,15.0,CC102,admin1,Hyderabad,Active,"07592 Snow Green Suite 757, Jeremybury, KY 68911",2024-03-13,2027-03-13,Q1-2027,paulthomas,EMP8825,Dean Cobb,Contract,CC101,HR,Replacement,2026-01-29,Y,N,Least run hotel skill help score there.,21.0,,,,2027-03
22.0,ThinkPad T14,HP,16 inch,ST1210,9951398959399.0,PO454594,2026-03-25,27.0,CC102,admin3,Mumbai,Assigned,"5896 Johnson Mission Apt. 985, Wilsonbury, OH 88275",2023-03-26,2026-03-25,Q1-2026,staceyhayes,EMP9630,Brian Vasquez,Contract,CC104,IT,Loner,2024-05-16,Y,N,Her skin however hour.,9.0,,,,2026-03
23.0,ThinkPad T14,HP,17 inch,ST7898,1571179873003.0,PO166304,2026-10-24,20.0,CC101,admin3,Delhi,Assigned,"358 Evans Centers Apt. 058, South Staceystad, WY 25401",2023-10-25,2026-10-24,Q4-2026,debra76,EMP8156,Michael Strickland,Intern,CC104,HR,New Hire,2025-05-09,Y,Y,Enjoy job choose possible.,16.0,,,,2026-10
24.0,ThinkPad T14,Dell,14 inch,ST4664,4988556599796.0,PO870820,2027-05-14,13.0,CC102,admin1,Mumbai,Assigned,"918 Daniel Oval, Blakefort, GA 16166",2024-05-14,2027-05-14,Q2-2027,dawnallen,EMP3787,Amy Washington,Contract,CC102,IT,Loner,2026-09-16,Y,N,Sing ball method we environmental decade take.,23.0,,,,2027-05
25.0,EliteBook 840,Dell,13 inch,ST7174,66748144376.0,PO890848,2027-04-22,14.0,CC103,admin2,Hyderabad,Assigned,"PSC 9432, Box 2772, APO AA 74455",2024-04-22,2027-04-22,Q2-2027,walterjoseph,EMP6330,Brandon Barajas,Full Time,CC102,Operations,Replacement,2024-05-14,Y,N,Hot population Republican person political real.,22.0,,,,2027-04
26.0,MacBook Pro,Dell,14 inch,ST5351,6489521266272.0,PO848723,2025-11-20,31.0,CC103,admin2,Hyderabad,Active,"38513 Mcgee Trail Apt. 055, Kristinfurt, WI 06358",2022-11-21,2025-11-20,Q4-2025,stewartemily,EMP2541,Nicole Vargas,Contract,CC104,Operations,Loner,2024-11-12,N,N,Can station determine hot.,5.0,,,,2025-11
27.0,EliteBook 840,Dell,14 inch,ST1011,7752696026453.0,PO899220,2027-03-03,15.0,CC104,admin1,Mumbai,Assigned,"1476 Cassie Course Apt. 680, Scottshire, NV 41431",2024-03-03,2027-03-03,Q1-2027,mcintoshjessica,EMP6478,Gregory Phillips,Intern,CC104,Operations,Replacement,2025-10-31,Y,N,Whole public local.,21.0,,,,2027-03
28.0,Latitude 5410,Lenovo,14 inch,ST6699,4478003364126.0,PO170967,2025-09-22,33.0,CC101,admin2,Delhi,Expired,"89382 Carlos Street Apt. 663, East Craig, VT 27843",2022-09-23,2025-09-22,Q3-2025,ubarnes,EMP2513,Jeffrey Patton,Intern,CC102,HR,Replacement,2025-06-23,Y,N,Activity conference nearly create model interview.,3.0,,,,2025-09
29.0,Latitude 5410,Dell,16 inch,ST4786,8712976374611.0,PO499227,2025-10-17,32.0,CC101,admin3,Mumbai,Returned,"587 Stacy Creek, Angelaborough, AL 55478",2022-10-18,2025-10-17,Q4-2025,dominique47,EMP4761,James Campbell,Intern,CC104,Operations,Replacement,2023-04-23,N,N,Would recently everybody sure.,4.0,,,,2025-10
30.0,EliteBook 840,Lenovo,16 inch,ST9531,4355959121945.0,PO362175,2026-01-23,29.0,CC103,admin3,Mumbai,Returned,"6814 Jones Tunnel Suite 822, Hillton, SD 22363",2023-01-24,2026-01-23,Q1-2026,connie32,EMP7364,Keith Weber,Full Time,CC101,IT,Replacement,2023-12-24,Y,Y,Them off become loss brother face school.,7.0,,,,2026-01
31.0,EliteBook 840,Lenovo,14 inch,ST8741,1825212863668.0,PO652767,2026-07-01,23.0,CC102,admin1,Bangalore,Expired,"2518 Hall Court, Bellport, MT 07956",2023-07-02,2026-07-01,Q3-2026,xmyers,EMP6514,Selena Garrett,Contract,CC101,Operations,New Hire,2023-12-17,Y,N,Significant several particularly sense news option.,13.0,,,,2026-07
32.0,ThinkPad T14,Dell,15 inch,ST3602,9339795975363.0,PO363300,2025-12-05,30.0,CC103,admin3,Hyderabad,Active,"80252 Jillian View Apt. 774, North Justinhaven, OK 46492",2022-12-06,2025-12-05,Q4-2025,lisawoodward,EMP8465,Christian Watkins,Contract,CC102,Finance,Loner,2024-10-24,N,Y,Different all issue worry seven source rule.,6.0,,,,2025-12
33.0,ThinkPad T14,Lenovo,13 inch,ST8174,5569303255616.0,PO241992,2027-05-17,13.0,CC103,admin2,Hyderabad,Expired,"90562 Norman Curve, Avilaburgh, NY 09430",2024-05-17,2027-05-17,Q2-2027,jeremiahwilliams,EMP2417,Scott Bowers,Contract,CC103,Finance,Loner,2026-03-02,N,Y,Free kind white free security poor who serious.,23.0,,,,2027-05
34.0,EliteBook 840,HP,13 inch,ST9113,2756633310167.0,PO856637,2025-12-27,30.0,CC102,admin3,Hyderabad,Returned,"243 Wade Road Apt. 028, East Jared, MO 89117",2022-12-28,2025-12-27,Q4-2025,andreagarcia,EMP2149,James Chang,Intern,CC101,Finance,Loner,2024-03-14,Y,Y,Whatever memory various discussion finally draw.,6.0,,,,2025-12
35.0,ThinkPad T14,Apple,16 inch,ST6077,2237120902831.0,PO231408,2026-05-28,25.0,CC104,admin2,Hyderabad,Expired,"805 Ashley Via, New Larryburgh, KS 38267",2023-05-29,2026-05-28,Q2-2026,ccervantes,EMP5484,Lisa Bell,Contract,CC104,Operations,Loner,2026-05-16,N,N,Machine top yet whom inside food old.,11.0,,,,2026-05
36.0,MacBook Pro,Apple,13 inch,ST6285,1772541827420.0,PO393151,2025-07-08,35.0,CC103,admin1,Mumbai,Expired,"758 Karen Harbor Suite 106, Lake Albertton, OH 59008",2022-07-09,2025-07-08,Q3-2025,ubruce,EMP2485,Brian Harris,Intern,CC102,HR,Replacement,2022-11-28,Y,N,Foot part particularly.,1.0,,,,2025-07
37.0,MacBook Pro,Lenovo,17 inch,ST2364,8562785626933.0,PO494903,2025-11-20,31.0,CC101,admin3,Hyderabad,Expired,"935 Deleon Drives, North Shannon, VA 86593",2022-11-21,2025-11-20,Q4-2025,rhouse,EMP6675,Denise Holland,Intern,CC101,HR,New Hire,2024-04-16,N,N,Ok difficult fact stock sister goal.,5.0,,,,2025-11
38.0,EliteBook 840,HP,17 inch,ST7489,6787759132537.0,PO917996,2026-05-01,25.0,CC103,admin1,Hyderabad,Active,"5020 Jones Prairie Apt. 875, Leblancberg, ME 29346",2023-05-02,2026-05-01,Q2-2026,melindadelgado,EMP7821,Donald Christensen,Contract,CC102,IT,Replacement,2024-04-10,Y,N,Put man across.,11.0,,,,2026-05
39.0,Latitude 5410,Dell,13 inch,ST7150,867828008669.0,PO584562,2026-11-24,19.0,CC103,admin1,Mumbai,Active,"066 Deborah Turnpike, Lake Dannymouth, SD 93226",2023-11-25,2026-11-24,Q4-2026,urobinson,EMP3362,Jill Schmidt,Contract,CC101,HR,Replacement,2025-04-19,Y,Y,Husband might share federal growth major senior above.,17.0,,,,2026-11
40.0,EliteBook 840,HP,14 inch,ST7036,4472702206992.0,PO299974,2027-02-07,16.0,CC103,admin2,Hyderabad,Assigned,"31571 Justin Keys, West Cesar, LA 19986",2024-02-08,2027-02-07,Q1-2027,jbrooks,EMP6984,Gregory Soto,Intern,CC101,IT,Loner,2025-02-06,N,Y,Next team direction visit subject.,20.0,,,,2027-02
41.0,MacBook Pro,Lenovo,13 inch,ST7740,8440470499034.0,PO783641,2027-03-18,15.0,CC101,admin1,Mumbai,Active,"859 Price Extensions Suite 117, Rodriguezport, ID 06321",2024-03-18,2027-03-18,Q1-2027,johnsontara,EMP8283,Michael Jenkins,Full Time,CC103,Operations,Replacement,2024-06-26,N,N,When foreign when few support even reality thought.,21.0,,,,2027-03
42.0,Latitude 5410,Apple,13 inch,ST2098,6004265296295.0,PO128793,2027-04-04,14.0,CC104,admin2,Hyderabad,Active,"79638 Nicholas Spring, West Charles, NE 39938",2024-04-04,2027-04-04,Q2-2027,elizabethharrison,EMP2970,Anita Cordova,Contract,CC104,Operations,Replacement,2026-08-11,Y,Y,Bank tree born any exactly certain pull.,22.0,,,,2027-04
43.0,EliteBook 840,Apple,17 inch,ST8027,7950811923520.0,PO114472,2026-07-29,23.0,CC104,admin3,Mumbai,Assigned,"42870 Paula Ranch Apt. 057, Lake Kyleshire, MN 87155",2023-07-30,2026-07-29,Q3-2026,uchapman,EMP3984,Joseph Khan,Contract,CC101,Finance,New Hire,2023-12-19,Y,Y,Teach within collection example.,13.0,,,,2026-07
44.0,EliteBook 840,Dell,15 inch,ST8287,6549756935159.0,PO622925,2026-10-07,20.0,CC103,admin2,Mumbai,Expired,"797 Dustin Ferry, Mistyberg, MA 60484",2023-10-08,2026-10-07,Q4-2026,moralesclaudia,EMP4144,Jasmine Collins,Full Time,CC102,Operations,Loner,2025-04-26,Y,N,Allow father space write general right exist.,16.0,,,,2026-10
45.0,EliteBook 840,HP,15 inch,ST7194,784611963311.0,PO842357,2026-04-15,26.0,CC104,admin2,Delhi,Returned,"60988 Michael Common Apt. 204, East Mitchellport, AZ 07706",2023-04-16,2026-04-15,Q2-2026,jose68,EMP6400,Maria Maddox,Full Time,CC101,IT,Loner,2024-12-10,N,N,Too learn name.,10.0,,,,2026-04
46.0,Latitude 5410,Dell,13 inch,ST6769,9079339048565.0,PO332603,2026-09-21,21.0,CC101,admin1,Hyderabad,Assigned,"034 Velez Haven, Greenville, AL 50326",2023-09-22,2026-09-21,Q3-2026,hweiss,EMP3212,Victoria Jones,Contract,CC104,Finance,New Hire,2024-07-17,Y,N,Decision simple provide concern option office.,15.0,,,,2026-09
47.0,EliteBook 840,HP,16 inch,ST6962,3887109511029.0,PO602122,2025-07-24,35.0,CC103,admin1,Delhi,Active,"54212 Scott Dale Apt. 743, Cynthiahaven, NM 68415",2022-07-25,2025-07-24,Q3-2025,marystone,EMP5946,Crystal Aguirre,Intern,CC102,HR,New Hire,2022-11-14,N,N,Involve lay enjoy.,1.0,,,,2025-07
48.0,Latitude 5410,Apple,15 inch,ST7530,935967447738.0,PO126287,2026-09-04,21.0,CC104,admin3,Mumbai,Expired,"820 Paul Mills, East Coltonview, OH 51678",2023-09-05,2026-09-04,Q3-2026,kmontgomery,EMP1848,Nathaniel Lane,Full Time,CC101,Operations,New Hire,2026-01-05,Y,N,Common clearly create inside crime.,15.0,,,,2026-09
49.0,Latitude 5410,Lenovo,13 inch,ST1504,4897815606857.0,PO704374,2026-01-31,28.0,CC104,admin3,Delhi,Expired,"485 Nathan Keys, Lake Tracey, VT 45672",2023-02-01,2026-01-31,Q1-2026,omitchell,EMP5103,Daniel Joseph,Full Time,CC101,IT,New Hire,2023-06-09,N,Y,His community add travel despite how firm.,8.0,,,,2026-01
50.0,ThinkPad T14,Lenovo,14 inch,ST3675,307831071095.0,PO731454,2025-07-22,35.0,CC103,admin2,Hyderabad,Active,"092 Joseph Row, East Michael, MI 11679",2022-07-23,2025-07-22,Q3-2025,brettortega,EMP2382,Brian Pittman,Contract,CC103,Finance,Replacement,2025-05-19,N,N,Can team say high statement.,1.0,,,,2025-07
51.0,Latitude 5410,Dell,14 inch,ST1016,3765876132039.0,PO560743,2025-11-18,31.0,CC103,admin2,Bangalore,Active,"0462 Helen Turnpike Suite 909, East Michaelborough, OH 36538",2022-11-19,2025-11-18,Q4-2025,jessicasharp,EMP7106,Steven Jackson,Contract,CC104,IT,Loner,2024-06-20,Y,Y,Door a identify question trial want real rule.,5.0,,,,2025-11
52.0,MacBook Pro,Dell,14 inch,ST5226,1508198834449.0,PO387160,2025-10-26,32.0,CC101,admin3,Bangalore,Expired,"4254 Marshall Rue, Charleshaven, NV 12042",2022-10-27,2025-10-26,Q4-2025,staceymartinez,EMP9909,Kevin Shea,Intern,CC103,HR,New Hire,2023-01-09,Y,N,Everything finally rich authority identify never can lot.,4.0,,,,2025-10
53.0,MacBook Pro,Lenovo,14 inch,ST3805,3265030024496.0,PO909561,2025-11-03,31.0,CC104,admin2,Delhi,Assigned,"37319 Bass Inlet Apt. 468, West Peter, MO 54029",2022-11-04,2025-11-03,Q4-2025,amandaharvey,EMP5576,Scott Ochoa,Intern,CC101,HR,Replacement,2024-07-13,N,Y,Like bit talk far exist ten class husband.,5.0,,,,2025-11
54.0,ThinkPad T14,HP,17 inch,ST1639,1725038595630.0,PO930977,2025-12-26,30.0,CC104,admin2,Hyderabad,Returned,"263 Valdez Route, Gardnerbury, WV 92805",2022-12-27,2025-12-26,Q4-2025,jwilson,EMP5418,Sarah Jones,Full Time,CC101,IT,New Hire,2024-07-31,N,N,Include us social cut beat open.,6.0,,,,2025-12
55.0,ThinkPad T14,HP,13 inch,ST7582,816659497845.0,PO681912,2025-07-29,35.0,CC103,admin2,Delhi,Active,"67173 Francis Spur Suite 223, Reynoldsview, WY 48592",2022-07-30,2025-07-29,Q3-2025,lelliott,EMP7805,Jacob Johnson,Full Time,CC104,HR,New Hire,2023-06-19,Y,Y,Beyond than mission.,1.0,,,,2025-07
56.0,ThinkPad T14,HP,16 inch,ST4104,4840876894114.0,PO903234,2026-05-10,25.0,CC104,admin3,Delhi,Expired,"USNV King, FPO AP 37127",2023-05-11,2026-05-10,Q2-2026,lauraholmes,EMP3733,Wendy Hunter,Contract,CC101,HR,New Hire,2024-02-27,Y,Y,Successful well late happen trade environmental.,11.0,,,,2026-05
57.0,ThinkPad T14,Apple,13 inch,ST5485,2172875250830.0,PO534116,2027-06-03,12.0,CC101,admin3,Mumbai,Returned,"8723 Robertson Vista, Martinezhaven, OK 83667",2024-06-03,2027-06-03,Q2-2027,tom19,EMP7927,Robyn Hughes,Intern,CC104,IT,Replacement,2026-03-27,N,N,List medical shoulder raise result campaign director.,24.0,,,,2027-06
58.0,ThinkPad T14,Dell,17 inch,ST9148,3903047954015.0,PO840004,2027-05-18,13.0,CC102,admin3,Hyderabad,Assigned,"2555 Sandoval Estates Suite 381, East Jerry, OK 75357",2024-05-18,2027-05-18,Q2-2027,kathryngibson,EMP5009,Amanda Shannon,Full Time,CC101,HR,Loner,2024-06-23,Y,Y,Call director issue education plan result.,23.0,,,,2027-05
59.0,MacBook Pro,HP,13 inch,ST7020,3527056527932.0,PO710146,2025-11-01,31.0,CC104,admin1,Bangalore,Returned,"PSC 7235, Box 5525, APO AP 09945",2022-11-02,2025-11-01,Q4-2025,morganbrandi,EMP7545,Miss Amber Rogers,Contract,CC103,IT,New Hire,2025-10-30,Y,N,Yourself inside down each.,5.0,,,,2025-11
60.0,ThinkPad T14,Apple,15 inch,ST3112,5333496974247.0,PO653007,2026-09-07,21.0,CC104,admin2,Bangalore,Active,"8683 Morales Shores Suite 728, Lake Monicatown, AL 56791",2023-09-08,2026-09-07,Q3-2026,susan79,EMP4438,Tina Meadows,Contract,CC102,IT,Loner,2024-10-01,Y,N,According simply join apply anything design staff.,15.0,,,,2026-09
61.0,MacBook Pro,Dell,13 inch,ST3502,4870047650515.0,PO875747,2025-09-27,33.0,CC102,admin2,Mumbai,Assigned,"03229 Larson Summit Apt. 377, Websterview, IA 56006",2022-09-28,2025-09-27,Q3-2025,ymartinez,EMP3300,Juan Dunn,Full Time,CC101,HR,New Hire,2023-10-02,N,Y,Deal according behind idea community become threat military.,3.0,,,,2025-09
62.0,MacBook Pro,Apple,13 inch,ST1500,5359649600474.0,PO494615,2025-10-09,32.0,CC101,admin3,Hyderabad,Active,"00982 Haley Stravenue Suite 247, South Richardmouth, DE 18032",2022-10-10,2025-10-09,Q4-2025,bernardbenjamin,EMP5015,Melissa Garcia,Contract,CC103,IT,New Hire,2025-04-15,N,Y,Everyone focus idea.,4.0,,,,2025-10
63.0,Latitude 5410,Dell,17 inch,ST8195,9235933183433.0,PO371126,2027-06-13,12.0,CC103,admin3,Hyderabad,Active,"4277 Mcdonald Terrace, South Elizabeth, MT 09839",2024-06-13,2027-06-13,Q2-2027,ghanson,EMP7267,Andrew Chapman,Full Time,CC101,IT,Loner,2025-07-30,N,N,Pattern explain west hit radio sister source.,24.0,,,,2027-06
64.0,Latitude 5410,Apple,17 inch,ST2437,8340216678467.0,PO428162,2025-11-24,31.0,CC102,admin2,Delhi,Active,"8511 Miller Manors Apt. 730, South Kellyberg, HI 83377",2022-11-25,2025-11-24,Q4-2025,larsenlisa,EMP6276,James Taylor,Full Time,CC102,IT,Replacement,2025-03-25,N,N,Draw ahead mind.,5.0,,,,2025-11
65.0,Latitude 5410,Dell,16 inch,ST9069,2055958922797.0,PO964908,2027-06-10,12.0,CC103,admin2,Bangalore,Returned,"4764 Brian Meadow, Haynesmouth, CT 95131",2024-06-10,2027-06-10,Q2-2027,justinwallace,EMP8805,Patricia Rogers,Intern,CC101,IT,Loner,2026-08-15,N,N,State fund statement artist third.,24.0,,,,2027-06
66.0,ThinkPad T14,HP,15 inch,ST3105,5135257652803.0,PO121323,2027-01-29,17.0,CC103,admin3,Bangalore,Expired,"98158 William Center Suite 909, Carlsonside, VT 37624",2024-01-30,2027-01-29,Q1-2027,drakemarie,EMP6453,Timothy Owen,Intern,CC101,Operations,Replacement,2025-11-05,Y,N,Create wonder break water ago.,19.0,,,,2027-01
67.0,ThinkPad T14,Apple,15 inch,ST5325,7666528644268.0,PO568315,2027-04-21,14.0,CC101,admin2,Delhi,Assigned,"621 Matthew Stravenue Suite 518, Nixontown, MN 93186",2024-04-21,2027-04-21,Q2-2027,csanford,EMP6698,Eric Mckinney,Full Time,CC101,Finance,New Hire,2024-12-12,N,Y,As better light boy.,22.0,,,,2027-04
68.0,MacBook Pro,Apple,15 inch,ST3901,4559253707212.0,PO625915,2026-05-02,25.0,CC104,admin2,Bangalore,Active,"207 Kiara Valley Apt. 376, Chadberg, DC 11280",2023-05-03,2026-05-02,Q2-2026,elizabethcannon,EMP1540,Brenda Welch,Full Time,CC103,HR,Loner,2023-10-23,Y,Y,And religious recently interest improve range.,11.0,,,,2026-05
69.0,Latitude 5410,Lenovo,16 inch,ST4056,7063472255937.0,PO945299,2026-08-17,22.0,CC104,admin3,Mumbai,Returned,"762 Pena Wells Apt. 036, Erinton, VA 54905",2023-08-18,2026-08-17,Q3-2026,kkim,EMP1922,Kevin Lynn,Intern,CC103,IT,Replacement,2024-12-17,N,N,Share tonight research agree all.,14.0,,,,2026-08
70.0,Latitude 5410,HP,15 inch,ST2575,3868311255529.0,PO246206,2026-11-17,19.0,CC102,admin2,Hyderabad,Returned,"353 King Burgs, South Bradley, MI 68238",2023-11-18,2026-11-17,Q4-2026,frytravis,EMP6048,Jill Martin,Contract,CC102,Finance,New Hire,2024-03-21,Y,N,Both debate claim hot hospital skin.,17.0,,,,2026-11
71.0,MacBook Pro,Dell,16 inch,ST4242,6217160056431.0,PO922548,2025-11-02,31.0,CC102,admin2,Bangalore,Returned,"5827 Jones Glens, Jenniferborough, CO 22596",2022-11-03,2025-11-02,Q4-2025,richardclark,EMP2571,Kathy Morgan,Intern,CC101,Operations,New Hire,2025-03-18,N,Y,Ok speech similar game head.,5.0,,,,2025-11
72.0,EliteBook 840,Dell,14 inch,ST2910,9692091855600.0,PO297803,2026-02-13,28.0,CC104,admin1,Bangalore,Expired,"073 Christopher Springs, Lake Garychester, TN 62994",2023-02-14,2026-02-13,Q1-2026,zpetty,EMP1376,Christy Edwards,Contract,CC101,Operations,New Hire,2024-10-31,Y,Y,Decade foot bag democratic analysis program.,8.0,,,,2026-02
73.0,EliteBook 840,HP,17 inch,ST2974,6511708068666.0,PO477791,2025-12-28,30.0,CC103,admin3,Delhi,Assigned,"97715 Mcintyre Court, Debrashire, AZ 73082",2022-12-29,2025-12-28,Q4-2025,qhall,EMP9240,Lisa Lyons,Intern,CC102,IT,Loner,2024-08-09,N,Y,Herself very remain great listen.,6.0,,,,2025-12
74.0,ThinkPad T14,Dell,13 inch,ST8224,7562220320496.0,PO905332,2026-12-30,18.0,CC103,admin2,Delhi,Active,"2443 Kim Freeway Apt. 586, Chavezside, PA 23676",2023-12-31,2026-12-30,Q4-2026,danielmahoney,EMP6092,Robin Moore,Full Time,CC104,Operations,New Hire,2024-06-01,N,Y,Claim memory sure bank get feeling.,18.0,,,,2026-12
75.0,Latitude 5410,Apple,17 inch,ST4014,8046494662708.0,PO658656,2025-09-07,33.0,CC104,admin2,Mumbai,Assigned,"Unit 9153 Box 4847, DPO AA 43224",2022-09-08,2025-09-07,Q3-2025,joseph49,EMP5305,Amy Callahan,Full Time,CC103,Operations,Loner,2023-01-12,Y,N,Hospital side response claim.,3.0,,,,2025-09
76.0,EliteBook 840,HP,13 inch,ST3119,2010664829426.0,PO930506,2026-01-11,29.0,CC104,admin1,Hyderabad,Assigned,"4496 Kellie Fields, East Michelleville, NM 50747",2023-01-12,2026-01-11,Q1-2026,gilesryan,EMP8686,Patricia Green,Full Time,CC104,Finance,New Hire,2024-05-28,N,Y,Continue push purpose factor town available society.,7.0,,,,2026-01
77.0,EliteBook 840,Apple,14 inch,ST5115,5042162295387.0,PO503969,2026-05-29,25.0,CC101,admin3,Bangalore,Active,"9933 Melissa Mountains Suite 233, Cassidyborough, TX 87267",2023-05-30,2026-05-29,Q2-2026,fosterjulie,EMP4550,Donna Richardson,Full Time,CC104,IT,New Hire,2024-06-24,N,Y,Door nearly commercial work training girl.,11.0,,,,2026-05
